OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPE_Length,SHAPE_Area
34591,1968,CA,CCO,KRN,JACK,1218949,2012/06/23 00:00:00+00,2012/06/23 00:00:00+00,14,,14.5,14.423592,1,1,,1281.168368,-88783.94157
34592,1968,CA,CCO,KRN,KECKS,1221206,2012/07/08 00:00:00+00,2012/07/08 00:00:00+00,14,,198,196.36569,1,1,,7046.229209,-1208526.86
34593,1968,CA,CCO,KRN,KEYSTONE,1220548,2012/07/04 00:00:00+00,2012/07/04 00:00:00+00,3,,0,0.63505155,1,1,,499.2036272,-3828.472403
34594,1968,CA,CCO,KRN,LANCER,1221213,2012/07/08 00:00:00+00,2012/07/08 00:00:00+00,14,,29.3,29.23741,1,1,,2789.523019,-176091.3851
34595,1968,CA,CCO,KRN,LAVAL,1216604,2012/06/03 00:00:00+00,2013/06/03 00:00:00+00,14,,41,41.165211,1,1,,2515.67585,-248732.7819
34596,1968,CA,CCO,KRN,LERDO,1204222,2012/02/10 00:00:00+00,2012/02/10 00:00:00+00,14,,1,22.817526,1,1,,1507.762307,-139670.8953
34597,1968,CA,CCO,KRN,LERDO,1217150,2012/06/08 00:00:00+00,2012/06/08 00:00:00+00,14,,4.09,3.5059984,1,1,,729.5966909,-21453.54899
34598,1968,CA,CCO,KRN,NINE,1203205,2012/01/31 00:00:00+00,2012/01/31 00:00:00+00,14,,8.21,8.3747702,1,1,,1019.896966,-51512.97023
34599,1968,CA,CCO,KRN,PASADENA,1214560,2012/05/16 00:00:00+00,2012/05/16 00:00:00+00,14,,0.7,0.71495622,1,1,,318.3824424,-4386.474181
34600,1968,CA,CCO,KRN,PRISON,1220178,2012/07/02 00:00:00+00,2012/07/02 00:00:00+00,14,,33,33.210297,1,1,,3185.406891,-201296.5541
34601,1968,CA,CCO,KRN,RANCHO,1216374,2012/06/01 00:00:00+00,2012/06/01 00:00:00+00,14,,7.5,5.6185503,1,1,,1054.720997,-33875.4358
